epoch,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss,,acc,loss,val_acc,val_loss
0,0.6434,1.431731125,0.778666664,0.828637695,,0.781199997,0.767757001,0.714666663,1.58184934,,0.794199996,0.75026011,0.553333331,2.908958648,,0.809799996,0.689052831,0.394666666,4.407909507,,0.794599998,0.754739656,0.255999998,5.081684421,,0.787,0.773947022,0.11,6.634032583
1,0.8644,0.494273596,0.848000002,0.495332673,,0.917199997,0.289106077,0.742666664,1.615895307,,0.9108,0.311132625,0.565333332,3.122554748,,0.912199997,0.296617037,0.40533333,4.686847199,,0.917999995,0.272533221,0.253999997,5.938793194,,0.915799998,0.296287055,0.111333333,7.49293774
2,0.9038,0.337590208,0.870666666,0.420723181,,0.937,0.218849063,0.749333331,1.68550734,,0.931399997,0.231428363,0.577333332,3.414250769,,0.936599999,0.223329636,0.412666661,5.170304059,,0.945199995,0.198454198,0.259999999,6.459260944,,0.931399997,0.230301309,0.109333333,7.789628347
3,0.9168,0.279964598,0.874,0.396494668,,0.948999997,0.171567782,0.75133333,1.767180536,,0.943799998,0.196453395,0.578000001,3.656566742,,0.949599998,0.178256635,0.408666664,5.336660029,,0.953799999,0.157902191,0.254666667,6.90954247,,0.945599998,0.185211383,0.112666666,8.305119673
4,0.929199999,0.245080492,0.886666671,0.35785446,,0.962199998,0.135195052,0.756666668,1.820142084,,0.952799998,0.160788456,0.587333333,3.695512921,,0.962000002,0.135272111,0.419999999,5.637498877,,0.965000001,0.125349211,0.261333333,7.151784209,,0.955799998,0.147310766,0.111333333,8.622592767
5,0.9384,0.216729156,0.882,0.359683958,,0.9708,0.107804844,0.763333333,1.907861724,,0.960399999,0.133909796,0.578666665,3.794978437,,0.970800002,0.107981024,0.419999996,5.832254037,,0.9732,0.096816673,0.261333335,7.400167392,,0.964800004,0.124955484,0.110666666,8.938249683
6,0.938999999,0.20260088,0.89866667,0.33934554,,0.975600001,0.089399885,0.766666666,1.958656686,,0.9696,0.106842038,0.589333326,3.861770112,,0.974200002,0.087146128,0.424000001,6.118524729,,0.980600003,0.076189612,0.267999999,7.746505183,,0.9716,0.103247426,0.114666666,9.235104036
7,0.9512,0.177363871,0.901999996,0.316332323,,0.981800005,0.072804337,0.757333329,2.062311786,,0.975000005,0.088627873,0.593333335,4.005754567,,0.982200004,0.067944593,0.427333328,6.284650577,,0.984800003,0.059574622,0.264666665,8.174382725,,0.982000002,0.078076271,0.116666666,9.637652429
8,0.954399999,0.161591137,0.907333337,0.316634273,,0.984800003,0.056042905,0.761999999,2.118945782,,0.977800005,0.078779395,0.596666665,4.063113607,,0.983800002,0.061008836,0.425333331,6.399797488,,0.988000005,0.04883799,0.264666664,8.401593426,,0.985400002,0.061980176,0.111333333,9.847234376
9,0.9618,0.151198073,0.911333337,0.297810628,,0.987800005,0.045951024,0.768666668,2.159598731,,0.985400006,0.059449987,0.594666666,4.226561511,,0.988200007,0.046016836,0.424666666,6.532681419,,0.991200004,0.035908202,0.265999999,8.730520348,,0.988800004,0.050622483,0.115333333,10.17890326
10,0.962799999,0.135676268,0.908000004,0.289727524,,0.994000003,0.033730539,0.774000001,2.215868925,,0.988000005,0.048067027,0.598666664,4.381954342,,0.992800004,0.034006378,0.427333333,6.809696559,,0.993800004,0.028911572,0.265333334,8.887881271,,0.991200005,0.041193214,0.114666666,10.57786627
11,0.968,0.120105056,0.91466667,0.291149264,,0.994400002,0.029381158,0.76666667,2.30265343,,0.991600004,0.039102116,0.599333328,4.46140452,,0.996400002,0.023818355,0.427999997,6.959715819,,0.995600004,0.024621744,0.265999999,9.096584822,,0.992400004,0.033236807,0.113333333,10.72460731
12,0.970800001,0.110243196,0.918666666,0.274117198,,0.995600003,0.023319503,0.771333333,2.333782132,,0.993400003,0.031945131,0.596666667,4.594336448,,0.996800002,0.020764611,0.432,7.061858728,,0.997600002,0.01609275,0.263333332,9.332207235,,0.995600004,0.025324533,0.113999999,11.1043903
13,0.9756,0.099114781,0.915333336,0.277930602,,0.997800002,0.018111152,0.765999997,2.420023272,,0.995000004,0.029058502,0.599333331,4.634757411,,0.997400001,0.015447275,0.427333335,7.226948555,,0.997400002,0.014200653,0.265999998,9.418040994,,0.996800003,0.020268271,0.115333333,11.36853857
14,0.9788,0.090174872,0.917333337,0.274050885,,0.997800002,0.014573893,0.767333332,2.467715005,,0.997600002,0.020066413,0.595999997,4.775757027,,0.997200001,0.015283846,0.431333327,7.307443788,,0.998800001,0.010844974,0.267999999,9.710966476,,0.998400001,0.016191131,0.115333333,11.44290784
15,0.9828,0.078831535,0.923333334,0.263228238,,0.998800001,0.010306742,0.767999995,2.476607535,,0.998000002,0.015704031,0.599999999,4.821443206,,0.998800001,0.011550412,0.433333334,7.402396213,,0.9998,0.006974292,0.264666666,9.808445019,,0.998200002,0.013639774,0.113999999,11.56307449
